Ticker,weight
TJX,0.12289615292977006
CLX,0.07837744319239998
COO,0.05666142251854377
EIX,0.05483547784732062
PCG,0.054677843412276134
AXON,0.03898126138731631
HWM,0.035942743742507985
RCL,0.027040019356855072
GEV,0.0255963665433868
JBL,0.024614455809081955
GNRC,0.023981696712366732
NCLH,0.0231362816101896
CCL,0.022700485490399335
MPWR,0.0221928693758622
STX,0.020464136736198537
AMAT,0.01904729701871544
KLAC,0.01837588240259327
WDC,0.016324159837778882
LRCX,0.01606693197385081
TER,0.014822756659299179
